source,status,generated_at,filename_stamp,row_count,parsed_row_timestamps,earliest_row_timestamp,latest_row_timestamp,max_row_skew_seconds,min_row_skew_seconds,error
bench/results/bench_matrix_20260428T132709Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T132718Z.json,pass,2026-04-28T13:27:18Z,20260428T132718Z,4,4,2026-04-28T13:27:14Z,2026-04-28T13:27:16Z,0.0,-4.0,
bench/results/bench_matrix_20260428T132709Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T13:27:18Z,,4,4,2026-04-28T13:27:14Z,2026-04-28T13:27:16Z,0.0,-4.0,
bench/results/bench_matrix_20260428T132709Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T132724Z.json,pass,2026-04-28T13:27:24Z,20260428T132724Z,4,4,2026-04-28T13:27:22Z,2026-04-28T13:27:24Z,0.0,-2.0,
bench/results/bench_matrix_20260428T132709Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T13:27:24Z,,4,4,2026-04-28T13:27:22Z,2026-04-28T13:27:24Z,0.0,-2.0,
bench/results/bench_matrix_20260428T133552Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T133553Z.json,pass,2026-04-28T13:35:53Z,20260428T133553Z,4,4,2026-04-28T13:35:53Z,2026-04-28T13:35:53Z,0.0,0.0,
bench/results/bench_matrix_20260428T133552Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T13:35:53Z,,4,4,2026-04-28T13:35:53Z,2026-04-28T13:35:53Z,0.0,0.0,
bench/results/bench_matrix_20260428T133552Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T133554Z.json,pass,2026-04-28T13:35:54Z,20260428T133554Z,4,4,2026-04-28T13:35:53Z,2026-04-28T13:35:54Z,0.0,-1.0,
bench/results/bench_matrix_20260428T133552Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T13:35:54Z,,4,4,2026-04-28T13:35:53Z,2026-04-28T13:35:54Z,0.0,-1.0,
bench/results/bench_matrix_20260428T143936Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T143938Z.json,pass,2026-04-28T14:39:38Z,20260428T143938Z,4,4,2026-04-28T14:39:37Z,2026-04-28T14:39:38Z,0.0,-1.0,
bench/results/bench_matrix_20260428T143936Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T14:39:38Z,,4,4,2026-04-28T14:39:37Z,2026-04-28T14:39:38Z,0.0,-1.0,
bench/results/bench_matrix_20260428T143936Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T143940Z.json,pass,2026-04-28T14:39:40Z,20260428T143940Z,4,4,2026-04-28T14:39:40Z,2026-04-28T14:39:40Z,0.0,0.0,
bench/results/bench_matrix_20260428T143936Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T14:39:40Z,,4,4,2026-04-28T14:39:40Z,2026-04-28T14:39:40Z,0.0,0.0,
bench/results/bench_matrix_20260428T144908Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T144909Z.json,pass,2026-04-28T14:49:09Z,20260428T144909Z,4,4,2026-04-28T14:49:08Z,2026-04-28T14:49:09Z,0.0,-1.0,
bench/results/bench_matrix_20260428T144908Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T14:49:09Z,,4,4,2026-04-28T14:49:08Z,2026-04-28T14:49:09Z,0.0,-1.0,
bench/results/bench_matrix_20260428T144908Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T144909Z.json,pass,2026-04-28T14:49:09Z,20260428T144909Z,4,4,2026-04-28T14:49:09Z,2026-04-28T14:49:09Z,0.0,0.0,
bench/results/bench_matrix_20260428T144908Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T14:49:09Z,,4,4,2026-04-28T14:49:09Z,2026-04-28T14:49:09Z,0.0,0.0,
bench/results/bench_matrix_20260428T150609Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T150611Z.json,pass,2026-04-28T15:06:11Z,20260428T150611Z,4,4,2026-04-28T15:06:11Z,2026-04-28T15:06:11Z,0.0,0.0,
bench/results/bench_matrix_20260428T150609Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T15:06:11Z,,4,4,2026-04-28T15:06:11Z,2026-04-28T15:06:11Z,0.0,0.0,
bench/results/bench_matrix_20260428T150609Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T150613Z.json,pass,2026-04-28T15:06:13Z,20260428T150613Z,4,4,2026-04-28T15:06:13Z,2026-04-28T15:06:13Z,0.0,0.0,
bench/results/bench_matrix_20260428T150609Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T15:06:13Z,,4,4,2026-04-28T15:06:13Z,2026-04-28T15:06:13Z,0.0,0.0,
bench/results/bench_matrix_20260428T152031Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T152031Z.json,pass,2026-04-28T15:20:31Z,20260428T152031Z,4,4,2026-04-28T15:20:31Z,2026-04-28T15:20:31Z,0.0,0.0,
bench/results/bench_matrix_20260428T152031Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,pass,2026-04-28T15:20:31Z,,4,4,2026-04-28T15:20:31Z,2026-04-28T15:20:31Z,0.0,0.0,
bench/results/bench_matrix_20260428T152031Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T152032Z.json,pass,2026-04-28T15:20:32Z,20260428T152032Z,4,4,2026-04-28T15:20:32Z,2026-04-28T15:20:32Z,0.0,0.0,
bench/results/bench_matrix_20260428T152031Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,pass,2026-04-28T15:20:32Z,,4,4,2026-04-28T15:20:32Z,2026-04-28T15:20:32Z,0.0,0.0,
bench/results/bench_matrix_20260428T172755Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T172755Z.json,pass,2026-04-28T17:27:55Z,20260428T172755Z,4,4,2026-04-28T17:27:55Z,2026-04-28T17:27:55Z,0.0,0.0,
