source,artifact_type,status,generated_at,generated_age_seconds,profile,model,quantization,prompt_suite_sha256,command_sha256,prompts,measured_runs,warmup_runs,median_tok_per_s,max_memory_bytes,telemetry_status,telemetry_findings,command_hash_status,command_hash_findings,command_airgap_status,command_findings,commit,current_commit,current_commit_match,commit_status,commit_findings,freshness_status,freshness_findings
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260427T234738Z.json,qemu_prompt,pass,2026-04-27T23:47:38Z,30962,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bb8266801970,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260427T234738Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-27T23:47:38Z,30962,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],bb8266801970,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T000110Z.json,qemu_prompt,pass,2026-04-28T00:01:10Z,30150,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],1588059f2388,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T00:01:10Z,30150,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],1588059f2388,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260428T000110Z.json,qemu_prompt,pass,2026-04-28T00:01:10Z,30150,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],1588059f2388,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_20260428T000111Z.json,qemu_prompt,pass,2026-04-28T00:01:11Z,30149,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],1588059f2388,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T000109Z/ci-airgap-smoke_synthetic-smoke_Q8_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T00:01:11Z,30149,ci-airgap-smoke,synthetic-smoke,Q8_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],1588059f2388,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/qemu_prompt_bench_20260428T000650Z.json,qemu_prompt,pass,2026-04-28T00:06:50Z,29810,synthetic-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,6,0,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],ec4b6dde4fd6,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_20260428T023336Z.json,qemu_prompt,pass,2026-04-28T02:33:36Z,21004,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],3b7e701e8a6b,1abdb9dfaa55,False,pass,[],unchecked,[]
bench/results/bench_matrix_20260428T023335Z/ci-airgap-smoke_synthetic-smoke_Q4_0/qemu_prompt_bench_latest.json,qemu_prompt,pass,2026-04-28T02:33:36Z,21004,ci-airgap-smoke,synthetic-smoke,Q4_0,68fc621f9f3916e73aa05b83ba0fa8da9f3cffad22a1c29f5acf8980d8dd743a,,2,4,2,160.0,67207168,pass,[],unknown,"[""qemu_prompt: missing command_sha256 metadata""]",pass,[],3b7e701e8a6b,1abdb9dfaa55,False,pass,[],unchecked,[]
